Mineral Name,Country of Type Locality
Yofortierite,Canada
Yukonite,Canada
Bobfergusonite,Canada
Zoltaiite,Canada
Bobshannonite,Canada
?ern?ite,Canada
Bobtraillite,Canada
Brianroulstonite,Canada
Burgessite,Canada
Bussyite-(Ce),Canada
Bussyite-(Y),Canada
Calcioburbankite,Canada
Calciosamarskite,Canada
Caresite,Canada
Carletonite,Canada
Caysichite-(Y),Canada
Cerianite-(Ce),Canada
Alicewilsonite-(YCe),Canada
Chapmanite,Canada
Charleshatchettite,Canada
Charmarite,Canada
Kanemite,Chad
Clinoatacamite,Chile
Clinoungemachite,Chile
Copiapite,Chile
Coquimbite,Chile
Cuatrocapaite-(K),Chile
Cuatrocapaite-(NH4),Chile
Cuprocopiapite,Chile
Currierite,Chile
Cuyaite,Chile
Darapskite,Chile
Dietzeite,Chile
Domeykite,Chile
Alumolukrahnite,Chile
Erazoite,Chile
Amarantite,Chile
Espadaite,Chile
Amarillite,Chile
Ammineite,Chile
Ferricopiapite,Chile
Ferrinatrite,Chile
Ammoniotinsleyite,Chile
Fibroferrite,Chile
Adamite,Chile
Fuenzalidaite,Chile
Gajardoite,Chile
George-ericksenite,Chile
Glaucodot,Chile
Gordaite,Chile
Guanacoite,Chile
Antipinite,Chile
Haydeeite,Chile
Antofagastaite,Chile
Hectorfloresite,Chile
Hedegaardite,Chile
Herbertsmithite,Chile
Hohmannite,Chile
Huangite,Chile
Huenite,Chile
Humberstonite,Chile
Iquiqueite,Chile
Joanneumite,Chile
Joteite,Chile
Juangodoyite,Chile
Juansilvaite,Chile
Kentrolite,Chile
Kr?hnkite,Chile
Lautarite,Chile
Leightonite,Chile
Lemanskiite,Chile
Leucostaurite,Chile
Leverettite,Chile
Lindgrenite,Chile
Lópezite,Chile
Arzrunite,Chile
Magnesiocanutite,Chile
Magnesiofluckite,Chile
Magnesiokoritnigite,Chile
Magnesiovoltaite,Chile
Atacamite,Chile
Mauriziodiniite,Chile
Mejillonesite,Chile
Mendozavilite-KCa,Chile
Mendozavilite-NaCu,Chile
Aubertite,Chile
Meta-alunogen,Chile
Metahohmannite,Chile
Metasideronatrite,Chile
Metatamboite,Chile
M?hnite,Chile
Nafeasite,Chile
Nantokite,Chile
Natrochalcite,Chile
Nitratine,Chile
Nitrobarite,Chile
Obradovicite-KCu,Chile
Obradovicite-NaCu,Chile
Obradovicite-NaNa,Chile
Bandylite,Chile
Parabutlerite,Chile
Paracoquimbite,Chile
Paratacamite,Chile
Paratacamite-(Mg),Chile
Pharmacoalumite,Chile
Phosphohedyphane,Chile
Picaite,Chile
Pickeringite,Chile
Pohlite,Chile
Quenstedtite,Chile
Riotintoite,Chile
Rruffite,Chile
Ríosecoite,Chile
Salesite,Chile
Sampleite,Chile
Sanrománite,Chile
Santanaite,Chile
Santarosaite,Chile
Schlossmacherite,Chile
Schwartzembergite,Chile
Bellingerite,Chile
Belloite,Chile
Seeligerite,Chile
Segerstromite,Chile
Shilovite,Chile
Sideronatrite,Chile
Szenicsite,Chile
Tamarugite,Chile
Tamboite,Chile
Tapiaite,Chile
Tarapacáite,Chile
Telluromandarinoite,Chile
Tennantite-(Mn),Chile
Betpakdalite-NaNa,Chile
Tocornalite,Chile
Torrecillasite,Chile
Triazolite,Chile
Trippkeite,Chile
Ulexite,Chile
Ungemachite,Chile
Vendidaite,Chile
Walfordite,Chile
Walthierite,Chile
Witzkeite,Chile
Zinc,Chile
Bobierrite,Chile
Bojarite,Chile
Brüggenite,Chile
Cadwaladerite,Chile
Caesiumpharmacosiderite,Chile
Calamaite,Chile
Alcaparrosaite,Chile
Camanchacaite,Chile
Camaronesite,Chile
Canutite,Chile
Caracolite,Chile
Carlosruizite,Chile
Ceruleite,Chile
Algodonite,Chile
Challacolloite,Chile
Chanabayaite,Chile
Changoite,Chile
Chinchorroite,Chile
Chongite,Chile
Christelite,Chile
Poirierite,China (meteorite) / Australia (meteorite)
Asimowite,China (meteorite) / Chile (meteorite)
Elgoresyite,China (meteorite)
Gupeiite,China (meteorite)
Hiroseite,China (meteorite)
